#Time_ps,0,10,20,30,50,100,300,500,1000,
1,1e-07,0.0549815,0.1108212,0.0634657,0.120152,0.0929771,0.0350768,0.0939951,0.0195307,
2,1e-07,0.0515172,0.127147,0.0462877,0.0730311,0.0459499,0.0634435,0.0614813,0.0741215,
3,1e-07,0.0252348,0.0739011,0.0480679,0.0649505,0.0353945,0.0590813,0.0745295,0.0866006,
4,1e-07,0.0384825,0.0581595,0.0270947,0.0845009,0.0291948,0.0713601,0.0425749,0.1042815,
5,1e-07,0.0456872,0.0421168,0.0313146,0.0865565,0.0778638,0.0677046,0.0341401,0.0818279,
6,1e-07,0.0526052,0.049391,0.0282186,0.0689373,0.0765586,0.0331609,0.0496089,0.074467,
7,0.0,0.0463113,0.0335697,0.0344002,0.0333154,0.0688268,0.0503266,0.0662994,0.0672986,
8,1e-07,0.037793,0.018454,0.0106678,0.0285128,0.0990003,0.0613805,0.0387087,0.0308516,
9,1e-07,0.0457457,0.016087,0.0169307,0.0648034,0.0983027,0.0608918,0.0383557,0.0327778,
10,1e-07,0.0783627,0.0429104,0.0218127,0.0740061,0.0658458,0.0292283,0.0537436,0.0265649,
11,1e-07,0.0705495,0.0224289,0.0395446,0.069972,0.061324,0.0615336,0.0516863,0.0513613,
12,2e-07,0.0346843,0.0626227,0.0558088,0.0542331,0.0150153,0.015484,0.0855022,0.0584627,
13,1e-07,0.0376432,0.0234095,0.0356868,0.0713882,0.0197393,0.0427994,0.0730945,0.067885,
14,1e-07,0.0437653,0.0290201,0.0389512,0.0603513,0.0431073,0.0574398,0.0412326,0.0992839,
15,2e-07,0.1554541,0.0343355,0.0314836,0.0557078,0.0449279,0.1121992,0.058636,0.204144,
16,2e-07,0.0610479,0.0664393,0.0327143,0.0237703,0.0422394,0.0571294,0.0811383,0.0724121,
17,1e-07,0.0651595,0.0673724,0.0499104,0.0139165,0.0448402,0.0189725,0.0686186,0.0397331,
18,2e-07,0.0847769,0.0683278,0.0364364,0.0286321,0.0543346,0.0352587,0.0632907,0.0471095,
19,3e-07,0.0848374,0.0428863,0.0648938,0.0846709,0.0953346,0.0776222,0.0654079,0.0642167,
20,3e-07,0.0831408,0.0309418,0.0556098,0.1092531,0.0992446,0.0765416,0.0611899,0.0707441,
21,3e-07,0.0618812,0.0303897,0.0370098,0.1496344,0.1083794,0.0654249,0.0611716,0.0741771,
22,3e-07,0.0916722,0.0368303,0.0306557,0.1529757,0.1191734,0.0830429,0.0805411,0.1099324,
23,3e-07,0.087373,0.1685257,0.1659339,0.1601849,0.2194179,0.1232136,0.0891693,0.1132919,
24,3e-07,0.1031911,0.2182651,0.2814455,0.1921306,0.1818483,0.1734128,0.191454,0.1447099,
25,3e-07,0.1139526,0.0685305,0.0447397,0.1161681,0.0999719,0.118637,0.1009508,0.0689953,
